171454	b.l.e.w.	ADV(type=reg,wf=abbr)	bij leven en welzijn
171456	b.z.a.	INT(type=form,wf=abbr)	biedt zich aan
100411	c.q.	CONJ(type=coor,wf=abbr)	casu quo
98966	d.d.	ADP(type=pre,wf=abbr)	de dato
198128	d.m.v.	ADP(type=pre,wf=abbr)	door middel van
198129	d.w.z.	INT(type=form,wf=abbr)	dat wil zeggen
97183	e.d.	RES(type=oth,wf=abbr)	en dergelijke
198296	e.e.a.	PD(type=indef,wf=abbr)	een en ander
198297	e.o.	RES(type=oth,wf=abbr)	en omgeving
940084	e.o.	RES(type=oth,wf=abbr)	en omstreken
100276	et al.	RES(type=oth,wf=abbr)	et alii
905039	vv.	RES(type=oth,wf=abbr)	en volgende
175833	e.v.	RES(type=oth,wf=abbr)	en volgende
198399	f.o.b.	ADV(type=reg,wf=abbr)	free on board
198474	g.mv.	RES(type=oth,wf=abbr)	geen meervoud
903454	i.c.	ADV(type=reg,wf=abbr)	in casu
198747	i.g.v.	ADP(type=pre,wf=abbr)	in geval van
198751	i.o.	ADV(type=reg,wf=abbr)	in opdracht
925277	i.o.	ADV(type=reg,wf=abbr)	in overleg
198752	i.o.m.	ADP(type=pre,wf=abbr)	in overleg met
198749	i.h.b.	ADV(type=reg,wf=abbr)	in het bijzonder
925278	i.o.	ADV(type=reg,wf=abbr)	in oprichting
179460	i.pl.v.	ADP(type=pre,wf=abbr)	in plaats van
198756	i.v.m.	ADP(type=pre,wf=abbr)	in verband met
901606	jam	INT(type=form,wf=abbr)	just a minute
182091	loc. cit.	ADV(type=reg,wf=abbr)	loco citato
98518	m.a.w.	ADV(type=reg,wf=abbr)	met andere woorden
158278	m.h.d.	ADV(type=reg,wf=abbr)	met hartelijke dank
940127	m.h.d.	ADV(type=reg,wf=abbr)	met hartelijke deelneming
182350	m.i.	ADV(type=reg,wf=abbr)	mijns inziens
182353	m.n.	ADV(type=reg,wf=abbr)	met name
804706	N.N.	INT(type=form,wf=abbr)	nomen nescio
183507	n.o.t.k.	AA(degree=pos,wf=abbr)	nader overeen te komen
183508	n.r.	AA(degree=pos,wf=abbr)	niet-rokend
903860	n.t.b.	AA(degree=pos,wf=abbr)	nader te bepalen
99078	o.a.	ADV(type=reg,wf=abbr)	onder andere
940134	o.a.	ADV(type=reg,wf=abbr)	onder anderen
184017	o.e.r.	INT(type=form,wf=abbr)	op erewoord retour
184018	o.g.v.	ADP(type=pre,wf=abbr)	op grond van
925279	o.g.v.	ADV(type=reg,wf=abbr)	onder gebruikelijk voorbehoud
184019	o.i.d.	RES(type=oth,wf=abbr)	of iets dergelijks
493	o.m.	ADV(type=reg,wf=abbr)	onder meer
184462	op. cit.	ADV(type=reg,wf=abbr)	opere citato
184024	o.v.v.	ADP(type=pre,wf=abbr)	onder vermelding van
217073	p.m.	ADV(type=reg,wf=abbr)	post meridiem
184859	p.p.p.n.	ADV(type=reg,wf=abbr)	per persoon per nacht
904178	r.s.v.p.	NOU-C(gender=m/f,number=sg,wf=abbr)	répondez s’il vous plaît; réponse s'il vous plaît
904239	s.l.e.a.	ADV(type=reg,wf=abbr)	sine loco et anno
905030	s.l.	ADV(type=reg,wf=abbr)	sensu lato
904241	s.n.	ADV(type=reg,wf=abbr)	stilo novo; stili novi
901623	btw	ADV(type=reg,wf=abbr)	by the way
940167	s.v.	ADV(type=reg,wf=abbr)	sub voce
904242	s.n.	ADV(type=reg,wf=abbr)	sine nomine
99139	t.a.v.	ADP(type=pre,wf=abbr)	ten aanzien van
101933	t.a.v.	ADP(type=pre,wf=abbr)	ter attentie van
904445	t.e.a.b.	ADV(type=reg,wf=abbr)	tegen elk aannemelijk bod
904480	t.g.t.	RES(type=oth,wf=abbr)	te gebruiken tot
925280	t.g.t.	ADV(type=reg,wf=abbr)	te gelegener tijd
100585	t.g.v.	ADP(type=pre,wf=abbr)	ten gevolge van
925281	t.g.v.	ADP(type=pre,wf=abbr)	ter gelegenheid van
925282	t.g.v.	ADP(type=pre,wf=abbr)	ten gunste van
189834	t.h.	ADV(type=reg,wf=abbr)	te huur
904486	t.h.t.	RES(type=oth,wf=abbr)	ten minste houdbaar tot
805620	t.h.v.	ADP(type=pre,wf=abbr)	ter hoogte van
189836	t.k.	ADV(type=reg,wf=abbr)	te koop
189838	t.l.v.	ADP(type=pre,wf=abbr)	ten laste van
189840	t.o.v.	ADP(type=pre,wf=abbr)	ten opzichte van
904447	t.o.v.	ADP(type=pre,wf=abbr)	ten overstaan van
904448	t.t.v.	ADP(type=pre,wf=abbr)	ten tijde van
904450	t.t.z.	INT(type=form,wf=abbr)	't is te zeggen
189841	t.w.	ADV(type=reg,wf=abbr)	te weten
196441	t.w.v.	ADP(type=pre,wf=abbr)	ter waarde van
904588	v.e.	RES(type=oth,wf=abbr)	van een
100968	v.h.	RES(type=oth,wf=abbr)	van het
937323	v.l.b.	ADV(type=reg,wf=abbr)	vrij langs boord
100898	v.l.n.r.	ADV(type=reg,wf=abbr)	van links naar rechts
191304	v.o.n.	AA(degree=pos,wf=abbr)	vrij op naam
